t,A,B,C,D
TOTAL,-4685.786315568223,-86123.62655445223,0.0,180.4184485298856
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,5363.157894736842,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,5.521682203456067
4,0.0,-0.0,-0.0,5.521682203456067
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,-3305.8575,-0.0,-0.0,9.58054585931443
8,-2203.905,-0.0,-0.0,7.739966763591193
9,0.0,-0.0,-0.0,2.1947268243669815
10,0.0,-0.0,-0.0,2.1947268243669815
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-0.0,-0.0,2.1947268243669815
13,0.0,-0.0,-0.0,2.1947268243669815
14,0.0,-0.0,-0.0,2.1947268243669815
15,0.0,-0.0,-0.0,2.1947268243669815
16,0.0,-0.0,-0.0,2.1947268243669815
17,0.0,-0.0,-0.0,2.1947268243669815
18,0.0,-8036.4015,-0.0,8.246009036774268
19,0.0,-8036.4015,-0.0,7.928165104074674
20,0.0,-8036.4015,-0.0,7.455259093726194
21,0.0,-8036.4015,-0.0,7.2070130540584785
22,0.0,-8036.4015,-0.0,6.780818194229894
23,0.0,-8036.4015,-0.0,6.6231014087729605
24,0.0,-3959.411767828685,-0.0,3.3810732178458616
25,0.009590014913135545,-3959.411767828685,-0.0,3.223292629339082
26,-0.008222239036149588,-3959.411767828685,-0.0,3.0872736549859803
27,0.0,-3959.411767828685,-0.0,3.0995166153123535
28,0.0,-3959.411767828685,-0.0,2.957320757508038
29,0.0,-3959.411767828685,-0.0,2.815124899703722
30,0.0,-1404.9516539517354,-0.0,1.1907396942247794
31,0.09887011511667834,-1404.9516539517354,-0.0,1.1438572098194995
32,0.10583950887286692,-1404.9516539517354,-0.0,1.1407700593067245
33,8.837441273314226,-1404.9516539517354,-0.0,1.1407700593067245
34,74.08765621100692,-1493.8984165739855,-0.0,5.521682203456067
35,411.3425218487818,-1520.4933713494509,-0.0,5.521682203456067
36,0.0,-635.527209483867,-0.0,5.521682203456067
37,-3097.38060217385,-648.6732525449967,-0.0,9.58054585931443
38,-3114.3061792349095,-649.0786371327848,-0.0,10.505521215786004
39,-1823.0738149220465,-644.1561099953574,-0.0,5.163797261923085
40,-737.3663149220465,-644.1561099953574,-0.0,2.1842848004984092
41,-574.3933341578664,-644.1561099953574,-0.0,1.6918350233244772
42,0.0,-275.951080115785,-0.0,0.2848346223642278
43,0.0,-275.4766656514025,-0.0,0.2751240894550758
44,0.0,-275.45030929227016,-0.0,0.26541355654592386
45,0.0,-273.9479968217258,-0.0,0.2557030236367719
46,0.0,-274.94953846875535,-0.0,0.2459924907276199
47,4312.864838372686,-273.02552425209325,-0.0,0.23628195781846795
