--- y2[i][j][t] nonzero ---
y2[1][1][43] = 0.06213749
y2[1][1][44] = 0.06213749
y2[1][1][45] = 0.06213749
y2[1][1][46] = 0.06213749
y2[1][1][47] = 0.06213749
y2[2][1][39] = 0.10000000
y2[2][1][40] = 0.10000000
y2[2][1][41] = 0.10000000
y2[2][1][42] = 0.06213749
y2[2][2][39] = 0.03653295
y2[2][2][40] = 0.03653295
y2[2][2][41] = 0.03653295
y2[3][1][16] = 0.10000000
y2[3][1][17] = 0.10000000
y2[3][2][16] = 0.10000000
y2[3][2][17] = 0.10000000
y2[3][3][16] = 0.10000000
y2[3][3][17] = 0.10000000
y2[4][1][14] = 0.10000000
y2[4][1][15] = 0.10000000
y2[4][1][38] = 0.10000000
y2[4][2][14] = 0.10000000
y2[4][2][15] = 0.10000000
y2[4][2][38] = 0.10000000
y2[4][3][14] = 0.10000000
y2[4][3][15] = 0.10000000
y2[4][3][38] = 0.10000000
y2[5][1][0] = 0.03371312
y2[5][1][1] = 0.03371312
y2[5][1][2] = 0.03371312
y2[5][1][3] = 0.03371312
y2[5][1][4] = 0.03371312
y2[5][1][5] = 0.03371312
y2[5][1][12] = 0.10000000
y2[5][1][13] = 0.10000000
y2[5][2][12] = 0.10000000
y2[5][2][13] = 0.10000000
y2[5][3][12] = 0.10000000
y2[5][3][13] = 0.10000000
y2[6][1][37] = 0.10000000
y2[6][2][37] = 0.10000000
y2[6][3][37] = 0.10000000
y2[8][1][36] = 0.10000000
y2[8][2][36] = 0.10000000
y2[8][3][36] = 0.10000000
y2[10][1][35] = 0.10000000
y2[10][2][35] = 0.10000000
y2[10][3][35] = 0.08389842
