t,A,B,C,D
TOTAL,-2561.009173199849,-124019.27270460414,0.0,0.0
0,0.0,-0.0,-0.0,0.0
1,0.0,-0.0,-0.0,0.0
2,0.0,-0.0,-0.0,0.0
3,0.0,-0.0,-0.0,0.0
4,4142.105263157893,-0.0,-0.0,0.0
5,-0.0,-0.0,-0.0,0.0
6,0.0,-0.0,-0.0,0.0
7,0.0,-0.0,-0.0,0.0
8,0.0,-0.0,-0.0,0.0
9,0.0,-0.0,-0.0,0.0
10,0.0,-0.0,-0.0,0.0
11,-2186.7049293750006,-0.0,-0.0,0.0
12,0.0,-11196.054,-0.0,0.0
13,0.0,-11189.0145,-0.0,0.0
14,849.4444736842111,-11189.0145,-0.0,0.0
15,438.6844736842102,-11205.801,-0.0,0.0
16,529.6642105263174,-11315.184,-0.0,0.0
17,2298.4242934281756,-11385.579,-0.0,0.0
18,0.0,-6138.33245893027,-0.0,0.0
19,-2357.1024355300883,-6190.338008595982,-0.0,0.0
20,-2309.960386819487,-6180.2724183381015,-0.0,0.0
21,-717.950386819487,-6180.2724183381015,-0.0,0.0
22,-2309.9603868194918,-6180.2724183381015,-0.0,0.0
23,-1603.7784118714087,-6180.2724183381015,-0.0,0.0
24,0.0,-120.53702206553335,-0.0,0.0
25,10258.151689154307,-119.69055421394954,-0.0,0.0
26,0.0,-124.08372236366948,-0.0,0.0
27,-4701.37153549031,-125.31110074846599,-0.0,0.0
28,-4701.371535490309,-125.31110074846599,-0.0,0.0
29,-4701.371535490309,-125.31110074846599,-0.0,0.0
30,0.0,-0.0,-0.0,0.0
31,0.0,-0.0,-0.0,0.0
32,0.0,-0.0,-0.0,0.0
33,0.0,-0.0,-0.0,0.0
34,306.0770110120196,-0.0,-0.0,0.0
35,0.0,-0.0,-0.0,0.0
36,0.0,-1963.406640938318,-0.0,0.0
37,0.0,-1964.1424585426673,-0.0,0.0
38,0.0,-1960.2180979861384,-0.0,0.0
39,123.83187713062297,-1944.2753832252401,-0.0,0.0
40,112.91753540658951,-1931.153302614347,-0.0,0.0
41,103.22723200674665,-1919.502857212152,-0.0,0.0
42,46.422656914744884,-1181.0024820240938,-0.0,0.0
43,45.67989440410899,-1180.1094744762493,-0.0,0.0
44,44.333637353581366,-1178.4908982957816,-0.0,0.0
45,43.590874842945446,-1177.5978907479373,-0.0,0.0
46,42.05892716475887,-1175.7560626805084,-0.0,0.0
47,3643.948320634812,-1172.965414093495,-0.0,0.0
