t,A,B,C,D
TOTAL,-8761.04720590336,0.0,-15665.915620669395,0.0
0,0.0,-0.0,-1318.011,0.0
1,0.0,-0.0,-1318.011,0.0
2,0.0,-0.0,-1322.8845000000001,0.0
3,0.0,-0.0,-1318.5525000000002,0.0
4,0.0,-0.0,-1319.094,0.0
5,0.0,-0.0,-1329.3825000000002,0.0
6,0.0,-0.0,-430.30683231083674,0.0
7,0.0,-0.0,-424.48695968448567,0.0
8,10169.744237203444,-0.0,-411.39224627519565,0.0
9,0.0,-0.0,-423.57760458661835,0.0
10,0.0,-0.0,-429.0337351738225,0.0
11,0.0,-0.0,-427.9425090563817,0.0
12,0.0,-0.0,-0.0,0.0
13,-4529.6475,-0.0,-0.0,0.0
14,-4583.7975,-0.0,-0.0,0.0
15,-1476.2884387333943,-0.0,-0.0,0.0
16,0.0,-0.0,-0.0,0.0
17,0.0,-0.0,-0.0,0.0
18,0.0,-0.0,-516.0495000000001,0.0
19,0.0,-0.0,-512.0785000000001,0.0
20,0.0,-0.0,-473.0905,0.0
21,0.0,-0.0,-445.113,0.0
22,45.03947368421058,-0.0,-400.71000000000004,0.0
23,0.1501315789473686,-0.0,-346.7405,0.0
24,0.0,-0.0,-0.0,0.0
25,0.0,-0.0,-0.0,0.0
26,0.0,-0.0,-0.0,0.0
27,9.473684210526317,-0.0,-0.0,0.0
28,0.0,-0.0,-0.0,0.0
29,0.0,-0.0,-0.0,0.0
30,0.0,-0.0,-0.0,0.0
31,0.0,-0.0,-0.0,0.0
32,0.0,-0.0,-0.0,0.0
33,0.0,-0.0,-0.0,0.0
34,0.0,-0.0,-0.0,0.0
35,-5285.04,-0.0,-0.0,0.0
36,-4451.127414040115,-0.0,-318.56732903533884,0.0
37,-688.5324498941103,-0.0,-315.0349940305633,0.0
38,-4352.366589063993,-0.0,-315.0349940305633,0.0
39,0.0,-0.0,-313.0634582139444,0.0
40,0.0,-0.0,-313.14560553963685,0.0
41,0.0,-0.0,-311.25621704871037,0.0
42,0.0,-0.0,-107.52229722206249,0.0
43,0.0,-0.0,-104.38186851321225,0.0
44,0.0,-0.0,-108.83080918408342,0.0
45,0.0,-0.0,-100.60587685138046,0.0
46,48.60304476630842,-0.0,-97.31590391829926,0.0
47,6332.742114384815,-0.0,-94.6988799942574,0.0
