t,A,B,C,D
TOTAL,2860.3062746690857,-141227.53971112726,0.0,263.91470633249105
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,3947.368421052631,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,5.521682203456067
4,0.0,-0.0,-0.0,5.521682203456067
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,-1712.945,-0.0,-0.0,7.621912495066519
8,-2677.7175,-0.0,-0.0,18.113978345073953
9,0.0,-0.0,-0.0,2.1947268243669815
10,0.0,-0.0,-0.0,2.1947268243669815
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-14812.732500000002,-0.0,11.280714362683716
13,0.0,-14812.732500000002,-0.0,10.80780835233524
14,0.0,-14785.657500000001,-0.0,10.334902341986762
15,0.0,-14785.657500000001,-0.0,9.154846618650799
16,0.0,-14785.657500000001,-0.0,8.728651758822217
17,0.0,-14825.728500000001,-0.0,7.650963386458297
18,0.0,-0.0,-0.0,0.6901660786723345
19,0.0,-0.0,-0.0,0.6901660786723347
20,0.0,-0.0,-0.0,0.6901660786723345
21,0.0,-0.0,-0.0,0.6901660786723347
22,0.0,-0.0,-0.0,0.6901660786723345
23,0.0,-0.0,-0.0,0.6901660786723347
24,5017.591139010376,-0.0,-0.0,0.6901660786723347
25,0.0,-0.0,-0.0,5.204864013550587
26,0.0,-0.0,-0.0,5.204864013550587
27,0.0,-0.0,-0.0,5.204864013550587
28,0.0,-0.0,-0.0,5.204864013550587
29,0.0,-0.0,-0.0,5.204864013550587
30,0.0,-7088.412339382356,-0.0,13.36775128724966
31,0.0,-7098.19832991085,-0.0,13.073272966219871
32,0.0,-7098.19832991085,-0.0,12.778794645190082
33,-419.6183950175117,-7138.460690942368,-0.0,14.161204111340608
34,-420.02539637058396,-7138.740290671753,-0.0,12.576512660580176
35,-63.2803295384401,-7138.460690942368,-0.0,9.95283149343454
36,0.0,-1255.6890608817891,-0.0,5.568185586261523
37,-2241.1001419365152,-1270.195399850225,-0.0,14.61021354369482
38,-2241.1001419365143,-1270.195399850225,-0.0,9.318080615969105
39,0.0,-1263.832970478104,-0.0,1.6358783563396977
40,0.0,-1263.7057218906616,-0.0,1.5889958719344182
41,0.0,-1256.7070495813284,-0.0,1.5421133875291384
42,0.0,-356.3330526657795,-0.0,0.7269988813671946
43,0.0,-356.3330526657795,-0.0,0.7056622015017544
44,0.0,-359.6340414520544,-0.0,0.6843255216363142
45,0.0,-356.3330526657795,-0.0,0.6629888417708741
46,42.72554970622371,-355.9855801619611,-0.0,0.5782731604541838
47,3628.4080696994215,-353.9586572230204,-0.0,0.5782731604541838
