--- y2[i][j][t] nonzero ---
y2[1][1][43] = 0.00664545
y2[1][1][46] = 0.00664545
y2[1][1][47] = 0.00664545
y2[2][1][20] = 0.10000000
y2[2][1][21] = 0.10000000
y2[2][1][22] = 0.10000000
y2[2][1][23] = 0.10000000
y2[2][1][24] = 0.07049783
y2[2][1][39] = 0.01460186
y2[2][1][40] = 0.01460186
y2[2][1][41] = 0.01460186
y2[2][1][42] = 0.00664545
y2[2][1][44] = 0.00664545
y2[2][1][45] = 0.00664545
y2[2][2][20] = 0.05490290
y2[2][2][21] = 0.05490290
y2[2][2][22] = 0.05490290
y2[2][2][23] = 0.05490290
y2[3][1][17] = 0.10000000
y2[3][1][18] = 0.10000000
y2[3][1][19] = 0.10000000
y2[3][2][17] = 0.10000000
y2[3][2][18] = 0.05490290
y2[3][2][19] = 0.05490290
y2[3][3][17] = 0.10000000
y2[4][1][15] = 0.10000000
y2[4][1][16] = 0.10000000
y2[4][1][38] = 0.10000000
y2[4][2][15] = 0.10000000
y2[4][2][16] = 0.10000000
y2[4][2][38] = 0.10000000
y2[4][3][15] = 0.10000000
y2[4][3][16] = 0.10000000
y2[4][3][38] = 0.10000000
y2[5][1][12] = 0.10000000
y2[5][1][13] = 0.10000000
y2[5][1][14] = 0.10000000
y2[5][2][12] = 0.10000000
y2[5][2][13] = 0.10000000
y2[5][2][14] = 0.10000000
y2[5][3][12] = 0.10000000
y2[5][3][13] = 0.10000000
y2[5][3][14] = 0.10000000
y2[7][1][35] = 0.03208426
y2[7][1][36] = 0.01460186
y2[7][1][37] = 0.10000000
y2[7][2][37] = 0.10000000
y2[7][3][37] = 0.10000000
y2[8][1][8] = 0.10000000
y2[8][2][8] = 0.10000000
y2[8][3][8] = 0.10000000
y2[10][1][7] = 0.10000000
y2[10][1][25] = 0.07049783
y2[10][1][26] = 0.07049783
y2[10][1][27] = 0.07049783
y2[10][1][28] = 0.07049783
y2[10][1][29] = 0.07049783
y2[10][1][30] = 0.03208426
y2[10][1][31] = 0.03208426
y2[10][1][32] = 0.03208426
y2[10][1][33] = 0.03208426
y2[10][1][34] = 0.10000000
y2[10][2][7] = 0.10000000
y2[10][2][34] = 0.10000000
y2[10][3][34] = 0.09288029
