t,A,B,C,D
TOTAL,-1448.632749184244,0.0,-97412.80184811549,246.75201840614187
0,0.0,-0.0,-619.8402693543626,3.115826146758549
1,0.0,-0.0,-621.9700955302318,3.0851970886287035
2,0.0,-0.0,-618.6232258252946,3.0545680304988574
3,0.0,-0.0,-616.9193648845993,3.023938972369012
4,0.0,-0.0,-616.9802170610527,2.993309914239166
5,0.0,-0.0,-619.8402693543626,2.962680856109321
6,0.0,-0.0,-0.0,2.0109524755879065
7,4731.815789473681,-0.0,-0.0,2.0109524755879065
8,0.0,-0.0,-0.0,5.521682203456067
9,0.0,-0.0,-0.0,5.521682203456067
10,0.0,-0.0,-0.0,5.521682203456067
11,0.0,-0.0,-0.0,5.521682203456067
12,-3249.0,-0.0,-0.0,9.58054585931443
13,-2478.445499999997,-0.0,-0.0,13.591735065447448
14,0.0,-0.0,-0.0,2.0109524755879065
15,0.0,-0.0,-0.0,2.0109524755879065
16,0.0,-0.0,-0.0,2.0109524755879065
17,0.0,-0.0,-0.0,2.0109524755879065
18,0.0,-0.0,-10848.411,10.961851648139666
19,0.0,-0.0,-10848.411,10.488945637791192
20,0.0,-0.0,-10837.0395,9.293674333727887
21,0.0,-0.0,-10827.834,8.867479473899307
22,0.0,-0.0,-10837.0395,7.776078435268952
23,0.0,-0.0,-10837.0395,7.391980845960552
24,5664.785515947822,-0.0,-4210.4611783667615,3.6935758393549403
25,188.17079135876904,-0.0,-4238.309121776504,12.635059399428496
26,220.14752714522652,-0.0,-4276.754070200573,12.635059399428492
27,224.04212958075792,-0.0,-4281.436467765043,12.635059399428492
28,237.36576949178055,-0.0,-4297.455196275071,12.635059399428494
29,1099.003242573954,-0.0,-4321.113626074498,12.635059399428492
30,0.0,-0.0,-310.1173349989598,5.521682203456067
31,-3653.6989888458784,-0.0,-336.6988208560135,9.58054585931443
32,-3653.6989888458784,-0.0,-336.6988208560135,15.2100833105758
33,-3737.4206460521,-0.0,-341.07298941476915,10.45111601174359
34,-581.5889888458777,-0.0,-336.6988208560135,2.364591217089766
35,-99.7555719412374,-0.0,-336.6988208560135,1.519393746560784
36,0.0,-0.0,-139.96343140679065,0.64078403098206
37,0.0,-0.0,-139.96343140679065,0.6219776695386442
38,0.0,-0.0,-139.96343140679065,0.6031713080952283
39,0.0,-0.0,-132.76618712219638,0.5843649466518125
40,55.362993955519386,-0.0,-119.6478056956664,0.509695704163553
41,78.39698768214127,-0.0,-117.86125569594442,0.509695704163553
42,0.0,-0.0,-45.41612911354916,0.26595023598814566
43,23.07079322754432,-0.0,-43.53443783058369,0.23196752916325955
44,23.070793227543785,-0.0,-43.53443783058369,0.23196752916325966
45,21.061276899516685,-0.0,-41.118439146282356,0.23196752916325955
46,20.964665537592296,-0.0,-41.00228536338325,0.2319675291632593
47,3417.717659244876,-0.0,-34.56736579077296,0.23196752916325966
