t,A,B,C,D
TOTAL,0.0,0.0,0.0,105.3468875696151
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,0.0,-0.0,-0.0,2.1947268243669815
4,0.0,-0.0,-0.0,2.1947268243669815
5,0.0,-0.0,-0.0,2.1947268243669815
6,0.0,-0.0,-0.0,2.1947268243669815
7,0.0,-0.0,-0.0,2.1947268243669815
8,0.0,-0.0,-0.0,2.1947268243669815
9,0.0,-0.0,-0.0,2.1947268243669815
10,0.0,-0.0,-0.0,2.1947268243669815
11,0.0,-0.0,-0.0,2.1947268243669815
12,0.0,-0.0,-0.0,2.1947268243669815
13,0.0,-0.0,-0.0,2.1947268243669815
14,0.0,-0.0,-0.0,2.1947268243669815
15,0.0,-0.0,-0.0,2.1947268243669815
16,0.0,-0.0,-0.0,2.1947268243669815
17,0.0,-0.0,-0.0,2.1947268243669815
18,0.0,-0.0,-0.0,2.1947268243669815
19,0.0,-0.0,-0.0,2.1947268243669815
20,0.0,-0.0,-0.0,2.1947268243669815
21,0.0,-0.0,-0.0,2.1947268243669815
22,0.0,-0.0,-0.0,2.1947268243669815
23,0.0,-0.0,-0.0,2.1947268243669815
24,0.0,-0.0,-0.0,2.1947268243669815
25,0.0,-0.0,-0.0,2.1947268243669815
26,0.0,-0.0,-0.0,2.1947268243669815
27,0.0,-0.0,-0.0,2.1947268243669815
28,0.0,-0.0,-0.0,2.1947268243669815
29,0.0,-0.0,-0.0,2.1947268243669815
30,0.0,-0.0,-0.0,2.1947268243669815
31,0.0,-0.0,-0.0,2.1947268243669815
32,0.0,-0.0,-0.0,2.1947268243669815
33,0.0,-0.0,-0.0,2.1947268243669815
34,0.0,-0.0,-0.0,2.1947268243669815
35,0.0,-0.0,-0.0,2.1947268243669815
36,0.0,-0.0,-0.0,2.1947268243669815
37,0.0,-0.0,-0.0,2.1947268243669815
38,0.0,-0.0,-0.0,2.1947268243669815
39,0.0,-0.0,-0.0,2.1947268243669815
40,0.0,-0.0,-0.0,2.1947268243669815
41,0.0,-0.0,-0.0,2.1947268243669815
42,0.0,-0.0,-0.0,2.1947268243669815
43,0.0,-0.0,-0.0,2.1947268243669815
44,0.0,-0.0,-0.0,2.1947268243669815
45,0.0,-0.0,-0.0,2.1947268243669815
46,0.0,-0.0,-0.0,2.1947268243669815
47,0.0,-0.0,-0.0,2.1947268243669815
