t,A,B,C,D
TOTAL,714.8697069720856,-152438.93217356259,0.0,230.5033063162179
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,2197.8657894736853,-0.0,-0.0,2.1947268243669815
4,0.0,-0.0,-0.0,4.058177740609234
5,0.0,-0.0,-0.0,4.058177740609224
6,0.0,-0.0,-0.0,4.058177740609274
7,0.0,-0.0,-0.0,4.058177740609274
8,0.0,-0.0,-0.0,4.058177740609274
9,0.0,-0.0,-0.0,4.058177740609239
10,0.0,-0.0,-0.0,4.058177740609273
11,0.0,-0.0,-0.0,4.058177740609224
12,0.0,-13782.799500000001,-0.0,11.241340778032335
13,0.0,-13770.886500000002,-0.0,10.595278012632917
14,798.0994736842121,-13768.179000000002,-0.0,10.122367199459893
15,401.30171052631283,-13770.886500000002,-0.0,10.595278012632917
16,427.8750000000008,-13802.835000000001,-0.0,10.595278012632917
17,0.0,-13895.431500000002,-0.0,10.595278012632917
18,-1649.971704871063,-8074.840184654556,-0.0,10.122367199459907
19,-1630.3291845749657,-8070.646188713773,-0.0,8.290794035685815
20,-1245.2133029613453,-8034.298223893652,-0.0,6.344175891818978
21,0.0,-8034.018624164266,-0.0,3.09951661531238
22,0.0,-8016.1242414835915,-0.0,2.9573207575080636
23,0.0,-8016.1242414835915,-0.0,2.815124899703747
24,7642.7779567202,-2124.542415938623,-0.0,1.1907396942247905
25,94.30300240572453,-2126.4511447502596,-0.0,5.521682203456067
26,104.88695329301243,-2139.1760034945014,-0.0,5.521682203456067
27,117.90521288437522,-2154.8275797499186,-0.0,5.521682203456067
28,124.25558341674589,-2162.462494996464,-0.0,5.521682203456067
29,0.0,-2172.7696305792997,-0.0,5.521682203456067
30,0.0,-0.0,-0.0,5.521682203456067
31,0.0,-0.0,-0.0,5.521682203456067
32,0.0,-0.0,-0.0,5.521682203456067
33,0.0,-0.0,-0.0,5.521682203456067
34,0.0,-0.0,-0.0,5.521682203456067
35,0.0,-0.0,-0.0,5.521682203456067
36,-3341.5924997691327,-895.4366423400417,-0.0,9.58054585931443
37,-2095.852939349283,-895.4945544240114,-0.0,7.234755298284238
38,-3653.506705608652,-902.9073011721375,-0.0,8.118834994422446
39,-1076.2087322828472,-895.5524665079812,-0.0,2.4722928439343876
40,0.0,-888.8925768514616,-0.0,0.5715595691057986
41,0.0,-887.6764230880972,-0.0,0.5502228892403586
42,0.0,-531.3442001083346,-0.0,0.24599249072762114
43,22.886572695656294,-527.2326080836867,-0.0,0.23628195781846956
44,22.84272868666063,-527.179895365422,-0.0,0.23628195781846956
45,21.417798394306704,-525.4667320218188,-0.0,0.23628195781846956
46,19.773648056975073,-523.4900050868919,-0.0,0.2362819578184694
47,3411.3533461515067,-520.9597946101856,-0.0,0.23628195781846956
