t,A,B,C,D
TOTAL,1377.8038335712936,0.0,-132274.46661538968,253.56967735202738
0,0.0,-0.0,-0.0,2.1947268243669815
1,0.0,-0.0,-0.0,2.1947268243669815
2,0.0,-0.0,-0.0,2.1947268243669815
3,4264.651430724051,-0.0,-0.0,2.1947268243669815
4,0.0,-0.0,-0.0,5.521682203456067
5,0.0,-0.0,-0.0,5.521682203456067
6,0.0,-0.0,-0.0,5.521682203456067
7,0.0,-0.0,-0.0,5.521682203456067
8,0.0,-0.0,-0.0,5.521682203456067
9,0.0,-0.0,-0.0,5.521682203456067
10,0.0,-0.0,-0.0,5.521682203456067
11,0.0,-0.0,-0.0,5.521682203456067
12,0.0,-0.0,-1144.81199561787,5.521682203456067
13,0.0,-0.0,-1143.4732477358953,5.521682203456067
14,0.0,-0.0,-1143.1689868536282,5.521682203456067
15,0.0,-0.0,-1143.4732477358953,5.521682203456067
16,0.0,-0.0,-1147.063526146646,5.521682203456067
17,-2694.031050978677,-0.0,-1157.469248320178,9.58054585931443
18,0.0,-0.0,-13678.29,10.377458662839155
19,0.0,-0.0,-13670.1675,9.795210554939297
20,0.0,-0.0,-13599.7725,9.354450854056518
21,0.0,-0.0,-13599.231,8.829714129841534
22,0.0,-0.0,-13564.575,8.30497740562655
23,0.0,-0.0,-13564.575,7.981308889832019
24,4275.864140401147,-0.0,-5844.617928366759,4.251486345843809
25,182.63635631880632,-0.0,-5848.314558022919,8.861922942672209
26,203.13426387422516,-0.0,-5872.958755730656,8.861922942672209
27,228.34669016739775,-0.0,-5903.2711189111715,8.861922942672207
28,240.64543470064797,-0.0,-5918.057637535813,8.861922942672209
29,0.0,-0.0,-5938.01943767908,8.861922942672209
30,0.0,-0.0,-835.6905110586797,5.7444415806377656
31,0.0,-0.0,-837.2607254131048,5.658864998289192
32,0.0,-0.0,-840.0646796174353,5.573288415940619
33,0.0,-0.0,-843.429424662632,5.487711833592046
34,0.0,-0.0,-842.0835266445533,5.402135251243472
35,0.0,-0.0,-845.5604298579232,5.334494193272976
36,-1132.7554951766992,-0.0,-0.0,5.617966932630431
37,-1248.1575,-0.0,-0.0,4.94302911763742
38,-4091.0325,-0.0,-0.0,9.343825104847685
39,-2447.7410765578397,-0.0,-0.0,4.31631791087497
40,0.0,-0.0,-0.0,0.01880636144341578
41,0.0,-0.0,-0.0,0.018806361443415843
42,0.0,-0.0,-568.6333427686534,0.4764129565566503
43,44.324360191382006,-0.0,-560.6704341984639,0.4576065951132344
44,44.23944762396557,-0.0,-560.5683456270513,0.4576065951132344
45,41.479789182931256,-0.0,-557.250467056139,0.4576065951132344
46,38.29556790481473,-0.0,-553.4221456281633,0.4576065951132344
47,3427.9039751951414,-0.0,-548.5218942003545,0.4576065951132344
