t,A,B,C,D
TOTAL,-3708.938082042392,-131340.50912841977,0.0,216.29944225373572
0,0.0,-990.7342848378568,-0.0,3.115826146758552
1,0.0,-988.4219021326275,-0.0,3.085197088628706
2,0.0,-986.1703716038515,-0.0,3.0545680304988605
3,0.0,-986.3529281332118,-0.0,3.023938972369015
4,0.0,-986.7788933683856,-0.0,2.9933099142391693
5,0.0,-989.2129804265218,-0.0,2.9626808561093236
6,0.0,-0.0,-0.0,2.0109524755879065
7,0.0,-0.0,-0.0,2.0109524755879065
8,0.0,-0.0,-0.0,2.0109524755879065
9,0.0,-0.0,-0.0,2.0109524755879065
10,0.0,-0.0,-0.0,2.0109524755879065
11,0.0,-0.0,-0.0,2.0109524755879065
12,0.0,-14064.921,-0.0,10.961851648139666
13,0.0,-14028.099,-0.0,10.48894563779119
14,0.0,-13874.313,-0.0,9.293674333727889
15,0.0,-13872.147,-0.0,8.867479473899307
16,0.0,-13548.33,-0.0,7.776078435268952
17,0.0,-13495.263,-0.0,7.39198084596055
18,0.0,-0.0,-0.0,0.5409032594268163
19,0.0,-0.0,-0.0,0.5409032594268163
20,0.0,-0.0,-0.0,0.5409032594268163
21,0.0,-0.0,-0.0,0.5409032594268163
22,0.0,-0.0,-0.0,0.5409032594268163
23,0.0,-0.0,-0.0,0.5409032594268163
24,0.0,-0.0,-0.0,0.5409032594268163
25,0.0,-0.0,-0.0,0.540903259426816
26,0.0,-0.0,-0.0,0.5409032594268163
27,0.0,-0.0,-0.0,0.5409032594268163
28,0.0,-0.0,-0.0,0.5409032594268163
29,7.037000640928972,-0.0,-0.0,0.5409032594268163
30,0.0,-4421.1690687679065,-0.0,12.894615514881428
31,143.89531103905867,-4520.238743553007,-0.0,12.635059399428496
32,0.0,-4551.783316618909,-0.0,12.635059399428492
33,323.8669393756601,-4541.925637535815,-0.0,12.37550328397556
34,216.04794563414347,-4606.986319484239,-0.0,12.635059399428492
35,0.0,-4688.312171919769,-0.0,12.635059399428494
36,-3183.0950790470356,-1668.9135424175488,-0.0,19.87526252563657
37,-3224.3571570191007,-1669.1378587538952,-0.0,13.326103525476553
38,-2896.143350259923,-1669.025700585722,-0.0,8.475708792411266
39,0.0,-1663.4177921770608,-0.0,1.3854603383730297
40,0.0,-1658.482832777439,-0.0,1.3441376512140444
41,0.0,-1656.9126184230138,-0.0,1.3028149640550593
42,0.0,-877.0939612920802,-0.0,0.5843649466518125
43,53.410004904941246,-871.7343112929142,-0.0,0.509695704163553
44,50.82017159873972,-868.6206098648273,-0.0,0.509695704163553
45,95.78137604574503,-865.0985541510896,-0.0,0.509695704163553
46,0.0,-866.936148436518,-0.0,0.5843649466518125
47,4703.79875504445,-863.9755798655501,-0.0,0.509695704163553
