--- y2[i][j][t] nonzero ---
y2[1][1][43] = 0.02827938
y2[1][1][44] = 0.02827938
y2[1][1][45] = 0.02827938
y2[1][1][47] = 0.02827938
y2[2][1][39] = 0.06213749
y2[2][1][40] = 0.06213749
y2[2][1][41] = 0.06213749
y2[2][1][42] = 0.02827938
y2[2][1][46] = 0.02827938
y2[3][1][16] = 0.10000000
y2[3][1][17] = 0.10000000
y2[3][2][16] = 0.10000000
y2[3][2][17] = 0.10000000
y2[3][3][16] = 0.10000000
y2[3][3][17] = 0.10000000
y2[4][1][14] = 0.10000000
y2[4][1][15] = 0.10000000
y2[4][1][38] = 0.10000000
y2[4][2][14] = 0.10000000
y2[4][2][15] = 0.10000000
y2[4][2][38] = 0.10000000
y2[4][3][14] = 0.10000000
y2[4][3][15] = 0.10000000
y2[4][3][38] = 0.07592983
y2[5][1][0] = 0.03371312
y2[5][1][1] = 0.03371312
y2[5][1][2] = 0.03371312
y2[5][1][3] = 0.03371312
y2[5][1][4] = 0.03371312
y2[5][1][5] = 0.03371312
y2[5][1][12] = 0.10000000
y2[5][1][13] = 0.10000000
y2[5][2][12] = 0.10000000
y2[5][2][13] = 0.10000000
y2[5][3][12] = 0.10000000
y2[5][3][13] = 0.10000000
y2[6][1][37] = 0.10000000
y2[6][2][37] = 0.10000000
y2[6][3][37] = 0.10000000
y2[9][1][30] = 0.10000000
y2[9][1][31] = 0.10000000
y2[9][1][32] = 0.10000000
y2[9][1][33] = 0.10000000
y2[9][1][34] = 0.10000000
y2[9][1][35] = 0.10000000
y2[9][1][36] = 0.10000000
y2[9][2][30] = 0.03653295
y2[9][2][31] = 0.03653295
y2[9][2][32] = 0.03653295
y2[9][2][33] = 0.03653295
y2[9][2][34] = 0.03653295
y2[9][2][35] = 0.03653295
y2[9][2][36] = 0.10000000
y2[9][3][36] = 0.09726917
