t,A,B,C,D
TOTAL,-11716.766710526317,0.0,0.0,84.75445162942833
0,-3143.4075,-0.0,-0.0,11.280714362683716
1,0.0,-0.0,-0.0,0.46627184980405717
2,0.0,-0.0,-0.0,0.46627184980405717
3,0.0,-0.0,-0.0,0.46627184980405717
4,0.0,-0.0,-0.0,0.46627184980405717
5,0.0,-0.0,-0.0,0.46627184980405717
6,0.0,-0.0,-0.0,0.46627184980405717
7,0.0,-0.0,-0.0,0.46627184980405717
8,-1047.8025,-0.0,-0.0,2.4661690609708615
9,0.0,-0.0,-0.0,0.0
10,0.0,-0.0,-0.0,0.0
11,0.0,-0.0,-0.0,0.0
12,0.0,-0.0,-0.0,0.0
13,0.0,-0.0,-0.0,0.0
14,0.0,-0.0,-0.0,0.0
15,0.0,-0.0,-0.0,0.0
16,0.0,-0.0,-0.0,0.0
17,0.0,-0.0,-0.0,0.0
18,0.0,-0.0,-0.0,0.0
19,0.0,-0.0,-0.0,0.0
20,0.0,-0.0,-0.0,0.0
21,0.0,-0.0,-0.0,0.0
22,0.0,-0.0,-0.0,0.0
23,0.0,-0.0,-0.0,0.0
24,0.0,-0.0,-0.0,0.0
25,0.0,-0.0,-0.0,0.0
26,0.0,-0.0,-0.0,0.0
27,0.0,-0.0,-0.0,0.0
28,0.0,-0.0,-0.0,0.0
29,9.473684210526317,-0.0,-0.0,0.0
30,0.0,-0.0,-0.0,5.521682203456067
31,0.0,-0.0,-0.0,5.521682203456067
32,0.0,-0.0,-0.0,5.521682203456067
33,0.0,-0.0,-0.0,5.521682203456067
34,0.0,-0.0,-0.0,5.521682203456067
35,0.0,-0.0,-0.0,5.521682203456067
36,-4061.25,-0.0,-0.0,9.58054585931443
37,-4066.665,-0.0,-0.0,15.595668270990886
38,-4063.9575,-0.0,-0.0,9.437357906103633
39,0.0,-0.0,-0.0,0.0
40,0.0,-0.0,-0.0,0.0
41,0.0,-0.0,-0.0,0.0
42,0.0,-0.0,-0.0,0.0
43,0.0,-0.0,-0.0,0.0
44,0.0,-0.0,-0.0,0.0
45,0.0,-0.0,-0.0,0.0
46,0.0,-0.0,-0.0,0.0
47,4656.842105263158,-0.0,-0.0,0.0
