--- y2[i][j][t] nonzero ---
y2[1][1][43] = 0.02827938
y2[1][1][44] = 0.02827938
y2[1][1][45] = 0.02827938
y2[1][1][46] = 0.02827938
y2[1][1][47] = 0.02827938
y2[2][1][42] = 0.02827938
y2[3][1][39] = 0.10000000
y2[3][2][39] = 0.09596665
y2[5][1][22] = 0.10000000
y2[5][1][23] = 0.10000000
y2[5][1][24] = 0.10000000
y2[5][2][22] = 0.10000000
y2[5][2][23] = 0.10000000
y2[5][2][24] = 0.03653295
y2[5][3][22] = 0.10000000
y2[5][3][23] = 0.10000000
y2[6][1][20] = 0.10000000
y2[6][1][21] = 0.10000000
y2[6][1][38] = 0.10000000
y2[6][2][20] = 0.10000000
y2[6][2][21] = 0.10000000
y2[6][2][38] = 0.10000000
y2[6][3][20] = 0.10000000
y2[6][3][21] = 0.10000000
y2[6][3][38] = 0.10000000
y2[7][1][18] = 0.10000000
y2[7][1][19] = 0.10000000
y2[7][1][37] = 0.10000000
y2[7][2][18] = 0.10000000
y2[7][2][19] = 0.10000000
y2[7][3][18] = 0.10000000
y2[7][3][19] = 0.10000000
y2[8][1][33] = 0.06213749
y2[8][1][34] = 0.06213749
y2[8][1][35] = 0.06213749
y2[8][1][36] = 0.07341292
y2[9][1][25] = 0.10000000
y2[9][1][26] = 0.10000000
y2[9][1][27] = 0.10000000
y2[9][1][28] = 0.10000000
y2[9][1][29] = 0.10000000
y2[9][1][30] = 0.06213749
y2[9][1][31] = 0.06213749
y2[9][1][32] = 0.06213749
y2[9][2][25] = 0.03653295
y2[9][2][26] = 0.03653295
y2[9][2][27] = 0.03653295
y2[9][2][28] = 0.03653295
y2[9][2][29] = 0.03653295
y2[10][1][12] = 0.03371312
y2[10][1][13] = 0.03371312
y2[10][1][14] = 0.03371312
y2[10][1][15] = 0.03371312
y2[10][1][16] = 0.03371312
y2[10][1][17] = 0.10000000
y2[10][2][17] = 0.10000000
y2[10][3][17] = 0.10000000
