t,A,B,C,D
0,0.0,-0.0,-15087.295,0.0
1,0.0,-0.0,-15081.4521,0.0
2,0.0,-0.0,-15075.7629,0.0
3,0.0,-0.0,-15076.2242,0.0
4,0.0,-0.0,-15077.3005,0.0
5,0.0,-0.0,-15083.451,0.0
6,0.0,-0.0,-25059.9187,0.0001
7,0.0,-0.0,-25062.1719,0.0001
8,0.0,-0.0,-25067.5234,0.0001
9,0.0,-0.0,-25067.5234,0.0001
10,0.0,-0.0,-25067.2417,0.0001
11,0.0,-0.0,-25043.0194,0.0001
12,0.0,-0.0,-87254.061,0.0001
13,0.0,-0.0,-87217.239,0.0001
14,0.0,-0.0,-87063.453,0.0001
15,0.0,-0.0,-87061.287,0.0001
16,0.0,-0.0,-86737.47,0.0001
17,0.0,-0.0,-86684.403,0.0001
18,0.0,-0.0,-75290.0285,0.0001
19,0.0,-0.0,-75290.0285,0.0001
20,0.0,-0.0,-75290.0285,0.0001
21,0.0492,-0.0,-75290.0285,0.0001
22,0.0,-0.0,-75290.0285,0.0
23,0.0,-0.0,-75290.0285,0.0
24,0.0359,-0.0,-20931.872,0.0
25,0.0,-0.0,-20931.872,0.0
26,0.0,-0.0,-20931.872,0.0
27,0.0,-0.0,-20931.872,0.0
28,0.0,-0.0,-20931.872,0.0
29,8.6761,-0.0,-20931.872,0.0
30,60.5353,-0.0,-11374.4569,0.0
31,64.4675,-0.0,-11418.8418,0.0
32,0.0,-0.0,-11432.9743,0.0
33,145.0979,-0.0,-11428.5579,0.0
34,96.7931,-0.0,-11457.7062,0.0
35,0.0,-0.0,-11494.1416,0.0
36,-3684.3843,-0.0,-4386.7167,0.0001
37,-3689.2968,-0.0,-4386.8172,0.0001
38,-3686.8406,-0.0,-4386.767,0.0001
39,-915.3863,-0.0,-4384.2545,0.0
40,0.0,-0.0,-4382.0436,0.0
41,0.0,-0.0,-4381.3401,0.0
42,0.0,-0.0,-2352.801,0.0
43,0.0,-0.0,-2350.3998,0.0
44,0.0,-0.0,-2349.0048,0.0
45,0.0,-0.0,-2347.4268,0.0
46,0.0,-0.0,-2348.2501,0.0
47,10686.3741,-0.0,-2346.9237,0.0
