month,t,A_no_deg,B_no_deg,C_no_deg,A_pw1d,B_pw1d,C_pw1d,D_pw1d,A_pw2d,B_pw2d,C_pw2d,D_pw2d
May,0,0,0,0,0,0,0,0,0,0,0,2.6149
May,1,0,0,0,0,0,0,0,0,0,0,2.6149
May,2,0,0,0,0,0,0,0,0,0,0,2.6149
May,3,0,0,0,0,0,0,0,0,0,0,2.6149
May,4,0,0,0,0,0,0,0,0,0,0,2.6149
May,5,0,0,0,0,0,0,0,0,0,0,2.6149
May,6,0,0,0,0,0,0,0,0,0,0,2.6149
May,7,0,0,0,0,0,0,0,0,0,0,2.6149
May,8,0,0,0,0,0,0,0,0,0,0,2.6149
May,9,0,0,0,0,0,0,0,0,0,0,2.6149
May,10,0,0,0,0,0,0,0,0,0,0,2.6149
May,11,0,0,0,0,0,0,0,0,0,0,2.6149
May,12,0,0,-15017.961,0,0,-15017.961,13.4692,0,0,-15017.961,8.9751
May,13,0,0,-14981.139,0,0,-14981.139,13.4692,0,0,-14981.139,8.6573
May,14,0,0,-14827.353,0,0,-14827.353,13.4692,0,0,-14827.353,8.1844
May,15,0,0,-14825.187,0,0,-14825.187,13.4692,0,0,-14825.187,7.9361
May,16,0,0,-14501.37,0,0,-14501.37,13.4692,0,0,-14501.37,7.5099
May,17,0,0,-14448.303,0,0,-14448.303,13.4692,0,0,-14448.303,7.3522
May,18,0.0096,0,-6582.0572,0.8297,0,-6582.0572,7.352,0,0,-6582.0572,3.9611
May,19,0,0,-6582.0572,0.2326,0,-6582.0572,7.352,0.0096,0,-6582.0572,3.8033
May,20,0,0,-6582.0572,0,0,-6582.0572,7.352,-0.0082,0,-6582.0572,3.6673
May,21,0.4651,0,-6582.0572,0,0,-6582.0572,7.352,0,0,-6582.0572,3.6796
May,22,-0.407,0,-6582.0572,2.8029,0,-6582.0572,7.352,0,0,-6582.0572,3.5374
May,23,0,0,-6582.0572,4.6269,0,-6582.0572,7.352,0,0,-6582.0572,3.3952
May,24,1.1515,0,-1829.9619,0.1337,0,-1829.9619,0,0,0,0,0.4702
May,25,0,0,-1829.9619,0,0,-1829.9619,0,0,0,0,0.4702
May,26,1.1585,0,-1829.9619,0,0,-1829.9619,0,0,0,0,0.4702
May,27,1.1585,0,-1829.9619,0.4164,0,-1829.9619,0,0,0,0,0.4702
May,28,5.369,0,-1829.9619,0,0,-1829.9619,0,0,0,0,0.4702
May,29,0.7631,0,-1829.9619,0.5584,0,-1829.9619,0,8.7246,0,0,0.4702
May,30,31.7519,0,-1008.8285,31.7519,0,-1008.8285,0,0,0,-2216.6704,5.9419
May,31,33.8144,0,-1032.1092,33.8144,0,-1032.1092,0,74.2993,0,-2267.8243,5.9419
May,32,0,0,-1039.5219,0,0,-1039.5219,0,0,0,-2284.1121,5.9419
May,33,76.1064,0,-1037.2054,76.1064,0,-1037.2054,0,167.2264,0,-2279.0222,5.9419
May,34,50.7697,0,-1052.4942,50.7697,0,-1052.4942,0,111.5548,0,-2312.6158,5.9419
May,35,0,0,-1071.6052,0,0,-1071.6052,0,0,0,-2354.6079,5.9419
May,36,-3778.3176,0,-416.4305,-3863.5773,0,-416.4305,0,-3626.9094,0,-915.0109,10.3097
May,37,-3868.7287,0,-416.4832,-3868.7287,0,-416.4832,13.4692,-3631.7452,0,-915.1268,10.7119
May,38,-3866.153,0,-416.4568,-3780.8365,0,-416.4568,13.2095,-3441.8636,0,-915.0688,7.7201
May,39,0,0,-415.139,0,0,-415.139,0.7191,0,0,-912.1732,1.0131
May,40,0,0,-413.9793,0,0,-413.9793,0.7191,0,0,-909.6251,0.9918
May,41,0,0,-413.6103,0,0,-413.6103,0.7191,0,0,-908.8143,0.9704
May,42,0,0,-219.3053,0,0,-219.3053,0.3273,0,0,-481.8733,0.6662
May,43,12.551,0,-218.0458,12.551,0,-218.0458,0.3273,27.5779,0,-479.1059,0.6565
May,44,11.9424,0,-217.3141,11.9424,0,-217.3141,0.3273,26.2406,0,-477.4982,0.6565
May,45,22.5079,0,-216.4865,22.5079,0,-216.4865,0.3273,49.456,0,-475.6796,0.6565
May,46,0,0,-216.9183,0,0,-216.9183,0.3273,0,0,-476.6284,0.6662
May,47,4667.8766,0,-216.2226,4667.8766,0,-216.2226,0.3273,4681.0878,0,-475.0997,0.6565
