sheet,cluster_id,centroid_vector,nearest_date,distance,members_count
all_1-0,0,"[0.00000000,0.00000000,0.00000000,0.00217949,0.00290598,0.00641026,0.05863248,0.33797009]",2024-05-20,0.06915355578628883,24
all_1-0,1,"[0.00000000,0.00000000,0.00581197,0.08410256,0.13350427,0.18598291,0.84222222,0.96324786]",2024-06-19,0.2425550072682076,3
all_1-0,2,"[0.01612536,0.02048433,0.04105413,0.06407407,0.15752137,0.32227920,0.45450142,0.83039886]",2024-06-05,0.10673188311187318,18
all_1-0,3,"[0.07950486,0.11032714,0.13944297,0.18754200,0.22809903,0.25846154,0.33004421,0.55694076]",2025-01-23,0.050837109057543114,58
all_1-0,4,"[0.08502058,0.13420703,0.15784742,0.18448876,0.22132953,0.24886356,0.28360874,0.31244065]",2024-10-02,0.04208563782536563,81
all_1-0,5,"[0.10664145,0.14478352,0.19220681,0.26888609,0.33905002,0.44287516,0.56716267,0.64362337]",2024-05-09,0.08107667079824048,61
all_1-0,6,"[0.15474969,0.23213675,0.27880342,0.35855922,0.41457875,0.56503053,0.66893773,0.87870574]",2024-11-30,0.20611821101273542,21
all_1-0,7,"[0.16208236,0.21551930,0.27834240,0.32037296,0.35602694,0.40300440,0.43115255,0.48789433]",2024-07-18,0.06418356692344553,99
all_2-1,0,"[0.02427070,0.03461959,0.04892812,0.06268180,0.08237915,0.11847835,0.18632198,0.33714166]",2025-01-06,0.05178897871976906,61
all_2-1,1,"[0.03145299,0.04047009,0.04752137,0.05427350,0.06428775,0.07227920,0.10562678,0.12874644]",2025-03-22,0.026098510597733375,36
all_2-1,2,"[0.03408284,0.05786982,0.06652860,0.07962525,0.12767258,0.15187377,0.34982249,0.40579882]",2024-11-28,0.05923803962023378,26
all_2-1,3,"[0.04183150,0.05872527,0.09220513,0.22115751,0.26593407,0.34443956,0.43639560,0.48580220]",2024-09-07,0.05118440730176099,35
all_2-1,4,"[0.06860806,0.18604396,0.23238095,0.24329670,0.31637363,0.45926740,0.56937729,0.64439560]",2024-06-24,0.07639040231771776,14
all_2-1,5,"[0.08530113,0.13670244,0.17524150,0.21361956,0.24021467,0.26732856,0.28732260,0.31109720]",2024-11-23,0.040293306980580104,86
all_2-1,6,"[0.14421245,0.22612943,0.26641636,0.30921245,0.33894383,0.37123321,0.41827839,0.46675824]",2024-06-01,0.045854906901242005,84
all_2-1,7,"[0.26073579,0.39290970,0.40396878,0.45921962,0.50064660,0.53904125,0.63739130,0.71003344]",2024-04-30,0.11880251052554847,23
