sheet,cluster_id,nearest_date,point_index_in_day,B,C,D_normalized
all_1-0,0,2024-05-20,1,5942,20240520B01,0.302051282051282
all_1-0,0,2024-05-20,2,5981,20240520B02,0
all_1-0,0,2024-05-20,3,6020,20240520B03,0
all_1-0,0,2024-05-20,4,6059,20240520B04,0
all_1-0,0,2024-05-20,5,6098,20240520B05,0
all_1-0,0,2024-05-20,6,6137,20240520B06,0
all_1-0,0,2024-05-20,7,6176,20240520B07,0
all_1-0,0,2024-05-20,8,6215,20240520B08,0
all_1-0,1,2024-06-19,1,5630,20240619B01,0.01743589743589744
all_1-0,1,2024-06-19,2,5669,20240619B02,0.04512820512820513
all_1-0,1,2024-06-19,3,5708,20240619B03,0
all_1-0,1,2024-06-19,4,5747,20240619B04,1
all_1-0,1,2024-06-19,5,5786,20240619B05,0.04256410256410256
all_1-0,1,2024-06-19,6,5825,20240619B06,0
all_1-0,1,2024-06-19,7,5864,20240619B07,1
all_1-0,1,2024-06-19,8,5903,20240619B08,0
all_1-0,2,2024-06-05,1,1262,20240605B01,0.4261538461538462
all_1-0,2,2024-06-05,2,1301,20240605B02,0.1035897435897436
all_1-0,2,2024-06-05,3,1340,20240605B03,0.01743589743589744
all_1-0,2,2024-06-05,4,1379,20240605B04,0.761025641025641
all_1-0,2,2024-06-05,5,1418,20240605B05,0.3466666666666667
all_1-0,2,2024-06-05,6,1457,20240605B06,0
all_1-0,2,2024-06-05,7,1496,20240605B07,0
all_1-0,2,2024-06-05,8,1535,20240605B08,0.1087179487179487
all_1-0,3,2025-01-23,1,6878,20250123B01,0.08512820512820513
all_1-0,3,2025-01-23,2,6917,20250123B02,0.1107692307692308
all_1-0,3,2025-01-23,3,6956,20250123B03,0.2620512820512821
all_1-0,3,2025-01-23,4,6995,20250123B04,0.1328205128205128
all_1-0,3,2025-01-23,5,7034,20250123B05,0.5107692307692309
all_1-0,3,2025-01-23,6,7073,20250123B06,0.1764102564102564
all_1-0,3,2025-01-23,7,7112,20250123B07,0.3153846153846154
all_1-0,3,2025-01-23,8,7151,20250123B08,0.2230769230769231
all_1-0,4,2024-10-02,1,326,20241002B01,0.177948717948718
all_1-0,4,2024-10-02,2,365,20241002B02,0.2769230769230769
all_1-0,4,2024-10-02,3,404,20241002B03,0.2471794871794872
all_1-0,4,2024-10-02,4,443,20241002B04,0.1682051282051282
all_1-0,4,2024-10-02,5,482,20241002B05,0.1107692307692308
all_1-0,4,2024-10-02,6,521,20241002B06,0.2984615384615385
all_1-0,4,2024-10-02,7,560,20241002B07,0.2482051282051282
all_1-0,4,2024-10-02,8,599,20241002B08,0.1271794871794872
all_1-0,5,2024-05-09,1,2510,20240509B01,0.2076923076923077
all_1-0,5,2024-05-09,2,2549,20240509B02,0.3487179487179487
all_1-0,5,2024-05-09,3,2588,20240509B03,0.4451282051282051
all_1-0,5,2024-05-09,4,2627,20240509B04,0.5907692307692307
all_1-0,5,2024-05-09,5,2666,20240509B05,0.6092307692307692
all_1-0,5,2024-05-09,6,2705,20240509B06,0.3220512820512821
all_1-0,5,2024-05-09,7,2744,20240509B07,0.138974358974359
all_1-0,5,2024-05-09,8,2783,20240509B08,0.1697435897435897
all_1-0,6,2024-11-30,1,9062,20241130B01,0.2138461538461539
all_1-0,6,2024-11-30,2,9101,20241130B02,0.3866666666666667
all_1-0,6,2024-11-30,3,9140,20241130B03,0.4005128205128205
all_1-0,6,2024-11-30,4,9179,20241130B04,0.7097435897435898
all_1-0,6,2024-11-30,5,9218,20241130B05,0.7646153846153846
all_1-0,6,2024-11-30,6,9257,20241130B06,0.1938461538461538
all_1-0,6,2024-11-30,7,9296,20241130B07,0.4246153846153846
all_1-0,6,2024-11-30,8,9335,20241130B08,0.1953846153846154
all_1-0,7,2024-07-18,1,5318,20240718B01,0.2779487179487179
all_1-0,7,2024-07-18,2,5357,20240718B02,0.3046153846153846
all_1-0,7,2024-07-18,3,5396,20240718B03,0.5025641025641026
all_1-0,7,2024-07-18,4,5435,20240718B04,0.4164102564102564
all_1-0,7,2024-07-18,5,5474,20240718B05,0.3964102564102565
all_1-0,7,2024-07-18,6,5513,20240718B06,0.1492307692307693
all_1-0,7,2024-07-18,7,5552,20240718B07,0.2984615384615385
all_1-0,7,2024-07-18,8,5591,20240718B08,0.2343589743589744
all_2-1,0,2025-01-06,1,1574,20250106B01,0.07025641025641026
all_2-1,0,2025-01-06,2,1613,20250106B02,0.07076923076923076
all_2-1,0,2025-01-06,3,1652,20250106B03,0.06564102564102564
all_2-1,0,2025-01-06,4,1691,20250106B04,0.1933333333333333
all_2-1,0,2025-01-06,5,1730,20250106B05,0.34
all_2-1,0,2025-01-06,6,1769,20250106B06,0.05897435897435897
all_2-1,0,2025-01-06,7,1808,20250106B07,0.1569230769230769
all_2-1,0,2025-01-06,8,1847,20250106B08,0.03333333333333333
all_2-1,1,2025-03-22,1,6566,20250322B01,0.02512820512820513
all_2-1,1,2025-03-22,2,6605,20250322B02,0.04051282051282051
all_2-1,1,2025-03-22,3,6644,20250322B03,0.07025641025641026
all_2-1,1,2025-03-22,4,6683,20250322B04,0.1112820512820513
all_2-1,1,2025-03-22,5,6722,20250322B05,0.08
all_2-1,1,2025-03-22,6,6761,20250322B06,0.06769230769230769
all_2-1,1,2025-03-22,7,6800,20250322B07,0.09794871794871794
all_2-1,1,2025-03-22,8,6839,20250322B08,0.04615384615384616
all_2-1,2,2024-11-28,1,8438,20241128B01,0.08974358974358974
all_2-1,2,2024-11-28,2,8477,20241128B02,0.08
all_2-1,2,2024-11-28,3,8516,20241128B03,0.1133333333333333
all_2-1,2,2024-11-28,4,8555,20241128B04,0.3292307692307692
all_2-1,2,2024-11-28,5,8594,20241128B05,0.3784615384615385
all_2-1,2,2024-11-28,6,8633,20241128B06,0.1528205128205128
all_2-1,2,2024-11-28,7,8672,20241128B07,0.1384615384615385
all_2-1,2,2024-11-28,8,8711,20241128B08,0.04153846153846154
all_2-1,3,2024-09-07,1,1886,20240907B01,0.2502564102564103
all_2-1,3,2024-09-07,2,1925,20240907B02,0.2492307692307693
all_2-1,3,2024-09-07,3,1964,20240907B03,0.3671794871794872
all_2-1,3,2024-09-07,4,2003,20240907B04,0.4994871794871795
all_2-1,3,2024-09-07,5,2042,20240907B05,0.4517948717948718
all_2-1,3,2024-09-07,6,2081,20240907B06,0.0794871794871795
all_2-1,3,2024-09-07,7,2120,20240907B07,0.1005128205128205
all_2-1,3,2024-09-07,8,2159,20240907B08,0.05384615384615385
all_2-1,4,2024-06-24,1,7190,20240624B01,0.2548717948717948
all_2-1,4,2024-06-24,2,7229,20240624B02,0.2646153846153846
all_2-1,4,2024-06-24,3,7268,20240624B03,0.458974358974359
all_2-1,4,2024-06-24,4,7307,20240624B04,0.6153846153846154
all_2-1,4,2024-06-24,5,7346,20240624B05,0.5856410256410256
all_2-1,4,2024-06-24,6,7385,20240624B06,0.1594871794871795
all_2-1,4,2024-06-24,7,7424,20240624B07,0.04205128205128205
all_2-1,4,2024-06-24,8,7463,20240624B08,0.2548717948717948
all_2-1,5,2024-11-23,1,6878,20241123B01,0.1425641025641025
all_2-1,5,2024-11-23,2,6917,20241123B02,0.201025641025641
all_2-1,5,2024-11-23,3,6956,20241123B03,0.2717948717948718
all_2-1,5,2024-11-23,4,6995,20241123B04,0.2969230769230769
all_2-1,5,2024-11-23,5,7034,20241123B05,0.3348717948717949
all_2-1,5,2024-11-23,6,7073,20241123B06,0.2158974358974359
all_2-1,5,2024-11-23,7,7112,20241123B07,0.1738461538461538
all_2-1,5,2024-11-23,8,7151,20241123B08,0.09794871794871794
all_2-1,6,2024-06-01,1,14,20240601B01,0.4815384615384616
all_2-1,6,2024-06-01,2,53,20240601B02,0.2558974358974359
all_2-1,6,2024-06-01,3,92,20240601B03,0.3041025641025641
all_2-1,6,2024-06-01,4,131,20240601B04,0.3461538461538461
all_2-1,6,2024-06-01,5,170,20240601B05,0.3297435897435897
all_2-1,6,2024-06-01,6,209,20240601B06,0.4102564102564102
all_2-1,6,2024-06-01,7,248,20240601B07,0.1548717948717949
all_2-1,6,2024-06-01,8,287,20240601B08,0.2553846153846154
all_2-1,7,2024-04-30,1,9062,20240430B01,0.4384615384615385
all_2-1,7,2024-04-30,2,9101,20240430B02,0.4025641025641025
all_2-1,7,2024-04-30,3,9140,20240430B03,0.6887179487179487
all_2-1,7,2024-04-30,4,9179,20240430B04,0.6717948717948717
all_2-1,7,2024-04-30,5,9218,20240430B05,0.4846153846153846
all_2-1,7,2024-04-30,6,9257,20240430B06,0.3451282051282051
all_2-1,7,2024-04-30,7,9296,20240430B07,0.3943589743589744
all_2-1,7,2024-04-30,8,9335,20240430B08,0.4564102564102565
