sheet,cluster_id,nearest_date,num_points,D_series_in_original_order
all_1-0,0,2024-05-20,8,"[0.302051282051282,0,0,0,0,0,0,0]"
all_1-0,1,2024-06-19,8,"[0.01743589743589744,0.04512820512820513,0,1,0.04256410256410256,0,1,0]"
all_1-0,2,2024-06-05,8,"[0.4261538461538462,0.1035897435897436,0.01743589743589744,0.761025641025641,0.3466666666666667,0,0,0.1087179487179487]"
all_1-0,3,2025-01-23,8,"[0.08512820512820513,0.1107692307692308,0.2620512820512821,0.1328205128205128,0.5107692307692309,0.1764102564102564,0.3153846153846154,0.2230769230769231]"
all_1-0,4,2024-10-02,8,"[0.177948717948718,0.2769230769230769,0.2471794871794872,0.1682051282051282,0.1107692307692308,0.2984615384615385,0.2482051282051282,0.1271794871794872]"
all_1-0,5,2024-05-09,8,"[0.2076923076923077,0.3487179487179487,0.4451282051282051,0.5907692307692307,0.6092307692307692,0.3220512820512821,0.138974358974359,0.1697435897435897]"
all_1-0,6,2024-11-30,8,"[0.2138461538461539,0.3866666666666667,0.4005128205128205,0.7097435897435898,0.7646153846153846,0.1938461538461538,0.4246153846153846,0.1953846153846154]"
all_1-0,7,2024-07-18,8,"[0.2779487179487179,0.3046153846153846,0.5025641025641026,0.4164102564102564,0.3964102564102565,0.1492307692307693,0.2984615384615385,0.2343589743589744]"
all_2-1,0,2025-01-06,8,"[0.07025641025641026,0.07076923076923076,0.06564102564102564,0.1933333333333333,0.34,0.05897435897435897,0.1569230769230769,0.03333333333333333]"
all_2-1,1,2025-03-22,8,"[0.02512820512820513,0.04051282051282051,0.07025641025641026,0.1112820512820513,0.08,0.06769230769230769,0.09794871794871794,0.04615384615384616]"
all_2-1,2,2024-11-28,8,"[0.08974358974358974,0.08,0.1133333333333333,0.3292307692307692,0.3784615384615385,0.1528205128205128,0.1384615384615385,0.04153846153846154]"
all_2-1,3,2024-09-07,8,"[0.2502564102564103,0.2492307692307693,0.3671794871794872,0.4994871794871795,0.4517948717948718,0.0794871794871795,0.1005128205128205,0.05384615384615385]"
all_2-1,4,2024-06-24,8,"[0.2548717948717948,0.2646153846153846,0.458974358974359,0.6153846153846154,0.5856410256410256,0.1594871794871795,0.04205128205128205,0.2548717948717948]"
all_2-1,5,2024-11-23,8,"[0.1425641025641025,0.201025641025641,0.2717948717948718,0.2969230769230769,0.3348717948717949,0.2158974358974359,0.1738461538461538,0.09794871794871794]"
all_2-1,6,2024-06-01,8,"[0.4815384615384616,0.2558974358974359,0.3041025641025641,0.3461538461538461,0.3297435897435897,0.4102564102564102,0.1548717948717949,0.2553846153846154]"
all_2-1,7,2024-04-30,8,"[0.4384615384615385,0.4025641025641025,0.6887179487179487,0.6717948717948717,0.4846153846153846,0.3451282051282051,0.3943589743589744,0.4564102564102565]"
