sheet,cluster_id,nearest_date,num_points,D_series_in_original_order_denormalized
all_1-0,0,2024/5/20,8,"[5.89,0,0,0,0,0,0,0]"
all_1-0,1,2024/6/19,8,"[0.34,0.88,0,19.5,0.83,0,19.5,0]"
all_1-0,2,2024/6/5,8,"[8.31,2.02,0.34,14.84,6.76,0,0,2.12]"
all_1-0,3,2025/1/23,8,"[1.66,2.16,5.11,2.59,9.96,3.44,6.15,4.35]"
all_1-0,4,2024/10/2,8,"[3.47,5.4,4.82,3.28,2.16,5.82,4.84,2.48]"
all_1-0,5,2024/5/9,8,"[4.05,6.8,8.68,11.52,11.88,6.28,2.71,3.31]"
all_1-0,6,2024/11/30,8,"[4.17,7.54,7.81,13.84,14.91,3.78,8.28,3.81]"
all_1-0,7,2024/7/18,8,"[5.42,5.94,9.8,8.12,7.73,2.91,5.82,4.57]"
all_2-1,0,2025/1/6,8,"[1.37,1.38,1.28,3.77,6.63,1.15,3.06,0.65]"
all_2-1,1,2025/3/22,8,"[0.49,0.79,1.37,2.17,1.56,1.32,1.91,0.9]"
all_2-1,2,2024/11/28,8,"[1.75,1.56,2.21,6.42,7.38,2.98,2.7,0.81]"
all_2-1,3,2024/9/7,8,"[4.88,4.86,7.16,9.74,8.81,1.55,1.96,1.05]"
all_2-1,4,2024/6/24,8,"[4.97,5.16,8.95,12,11.42,3.11,0.82,4.97]"
all_2-1,5,2024/11/23,8,"[2.78,3.92,5.3,5.79,6.53,4.21,3.39,1.91]"
all_2-1,6,2024/6/1,8,"[9.39,4.99,5.93,6.75,6.43,8,3.02,4.98]"
all_2-1,7,2024/4/30,8,"[8.55,7.85,13.43,13.1,9.45,6.73,7.69,8.9]"
