sheet,date,cluster_id,centroid_value,nearest_d_value,row_index_in_date_group,row_number_in_output_sheet
all_1-0,20240401,0,0.0,0.0,0,1
all_1-0,20240401,1,0.08615384615384615,0.08615384615384615,6,7
all_1-0,20240401,2,0.6266666666666667,0.6266666666666667,4,5
all_1-0,20240402,0,0.015604395604395607,0.0,0,1
all_1-0,20240402,1,0.6266666666666667,0.6266666666666667,4,5
all_1-0,20240403,0,0.0,0.0,0,1
all_1-0,20240403,1,0.01743589743589744,0.01743589743589744,1,2
all_1-0,20240403,2,0.6266666666666667,0.6266666666666667,4,5
all_1-0,20240404,0,0.0,0.0,0,1
all_1-0,20240404,1,0.01743589743589744,0.01743589743589744,1,2
all_1-0,20240404,2,0.1835897435897436,0.1835897435897436,6,7
all_1-0,20240404,3,0.6266666666666667,0.6266666666666667,4,5
all_1-0,20240405,0,0.0,0.0,0,1
all_1-0,20240405,1,0.03076923076923077,0.03076923076923077,1,2
all_1-0,20240405,2,0.6266666666666667,0.6266666666666667,4,5
all_1-0,20240406,0,0.21294871794871792,0.1892307692307692,6,7
all_1-0,20240407,0,0.21294871794871792,0.1892307692307692,6,7
all_1-0,20240408,0,0.0,0.0,0,1
all_1-0,20240409,0,0.0,0.0,0,1
all_1-0,20240410,0,0.0,0.0,0,1
all_1-0,20240411,0,0.0,0.0,0,1
all_1-0,20240412,0,0.0,0.0,0,1
all_1-0,20240413,0,0.2619230769230769,0.26,1,2
all_1-0,20240414,0,0.2619230769230769,0.26,1,2
all_1-0,20240415,0,0.3401282051282052,0.3297435897435897,1,2
all_1-0,20240416,0,0.3401282051282052,0.3297435897435897,1,2
all_1-0,20240417,0,0.3243589743589744,0.3276923076923077,2,3
all_1-0,20240418,0,0.3243589743589744,0.3276923076923077,2,3
all_1-0,20240419,0,0.3243589743589744,0.3276923076923077,2,3
all_1-0,20240420,0,0.3137179487179487,0.281025641025641,2,3
all_1-0,20240421,0,0.31108974358974356,0.281025641025641,2,3
all_1-0,20240422,0,0.3094230769230769,0.3194871794871795,3,4
all_1-0,20240423,0,0.376474358974359,0.3841025641025641,7,8
all_1-0,20240424,0,0.379551282051282,0.3841025641025641,7,8
all_1-0,20240425,0,0.38224358974358974,0.3841025641025641,7,8
