total_clusters,cluster_id,member_days,representative_date,distance_to_center,raw_t1,raw_t2,raw_t3,raw_t4,raw_t5,raw_t6,raw_t7,raw_t8,raw_t9,raw_t10,raw_t11,raw_t12,raw_t13,raw_t14,raw_t15,raw_t16,raw_t17,raw_t18,raw_t19,raw_t20,raw_t21,raw_t22,raw_t23,raw_t24,raw_t25,raw_t26,raw_t27,raw_t28,raw_t29,raw_t30,raw_t31,raw_t32,raw_t33,raw_t34,raw_t35,raw_t36,raw_t37,raw_t38,raw_t39,raw_t40,raw_t41,raw_t42,raw_t43,raw_t44,raw_t45,raw_t46,raw_t47,raw_t48
50,0,5,2024-08-19,0.5336293524844556,10.93,10.92,10.08,9.84,9.83,9.79,9.77,9.77,9.84,9.84,10.22,10.31,10.22,10.92,10.93,11.19,13.46,17.95,21.52,22.2,19.56,19.56,19.56,19.56,15.04,18.04,19.56,22.44,20.9,20.9,21.0,24.66,25.46,27.0,24.66,24.65,24.67,24.65,22.0,18.37,18.95,17.78,17.57,15.66,14.51,13.04,13.0,10.22
50,1,9,2024-07-01,0.6341284027826615,9.28,8.58,8.53,7.93,7.87,8.0,8.54,8.8,9.21,9.22,9.33,9.42,9.56,9.43,9.43,9.74,11.76,13.06,16.14,18.0,17.64,17.64,17.64,17.64,12.0,11.0,16.19,17.64,17.64,17.64,16.19,16.19,15.0,16.04,13.0,14.92,13.7,13.76,13.44,12.14,11.07,10.12,10.0,9.84,9.55,9.39,9.06,8.56
50,2,2,2024-10-18,0.6054731715387375,11.72,12.05,11.95,11.5,11.58,11.5,11.46,11.72,11.5,12.02,13.64,15.0,15.79,14.51,13.64,11.0,11.12,10.95,10.75,10.75,10.75,10.53,10.53,10.53,10.53,10.53,10.75,10.95,13.5,16.5,16.84,33.25,33.25,33.25,33.25,33.25,31.0,30.0,21.35,17.42,17.14,15.44,13.74,12.06,14.0,13.07,13.22,11.0
50,3,11,2025-01-08,0.5774285796455746,9.24,9.02,8.43,8.78,8.87,8.78,8.78,8.31,8.42,8.66,9.06,9.77,13.02,15.0,17.29,18.38,17.09,17.0,16.0,14.31,13.0,9.76,9.54,9.54,7.45,7.45,8.05,8.11,9.31,9.54,9.76,12.33,15.16,17.29,17.77,17.5,16.69,16.59,16.36,16.59,16.59,15.7,15.86,14.88,15.69,12.64,12.55,9.76
50,4,10,2024-08-27,0.5536607845948963,13.68,13.17,13.06,12.78,12.81,12.89,12.97,12.92,12.81,12.81,12.84,12.92,12.98,12.92,12.8,13.42,13.65,18.0,18.79,19.45,14.29,14.29,14.29,14.29,14.29,14.01,14.29,19.0,21.44,22.49,20.96,22.49,22.49,22.49,22.49,22.49,22.49,22.49,22.49,20.01,18.84,18.21,18.21,16.65,14.9,13.75,13.5,12.0
50,5,16,2024-09-30,0.4085724761935741,8.33,8.34,8.33,8.33,8.33,8.33,8.33,8.65,8.78,9.77,10.08,10.21,9.86,10.36,10.2,9.25,8.7,8.65,8.33,8.91,8.05,8.05,8.05,8.05,8.05,8.05,8.05,9.5,10.28,10.46,10.67,12.5,16.0,18.13,16.99,16.99,16.99,15.24,14.61,11.94,11.67,10.67,10.61,10.2,10.61,10.14,9.9,8.97
50,6,20,2024-06-25,0.413063860695436,11.24,10.42,9.38,9.19,9.29,9.38,9.5,10.04,10.43,10.44,10.43,10.04,9.33,8.91,8.91,8.91,11.14,12.1,13.12,13.62,12.83,12.36,12.19,11.8,10.77,10.77,10.77,11.01,12.7,13.19,14.29,15.65,17.51,17.54,16.0,17.04,18.31,16.48,18.07,16.71,15.11,14.89,14.52,13.61,14.24,12.0,11.43,8.68
50,7,8,2024-12-23,0.6570355968079471,10.83,9.76,9.76,9.76,10.5,10.83,11.32,9.82,9.76,9.76,9.76,10.83,13.48,17.17,18.48,18.52,17.17,10.83,10.58,10.58,10.33,10.33,10.18,4.0,0.01,0.01,3.0,7.73,8.42,10.33,10.33,10.58,11.32,19.2,19.2,19.2,19.16,18.56,18.44,18.16,18.45,17.93,17.0,14.74,14.77,12.01,12.44,9.11
50,8,5,2025-03-10,0.4473916961559268,9.94,9.34,8.43,10.16,10.16,12.77,13.68,13.68,13.68,13.55,14.0,14.47,16.5,20.67,15.95,13.69,13.41,12.03,9.37,8.83,8.66,8.66,7.8,7.8,4.03,3.1,7.83,8.01,8.58,8.66,8.66,9.0,11.05,14.2,16.5,20.0,20.67,20.67,20.67,19.3,17.92,16.5,16.5,15.95,15.5,13.62,12.77,9.38
50,9,11,2025-03-11,0.5847941749198914,10.16,10.0,9.6,10.16,11.38,12.62,12.9,12.94,12.88,12.88,13.46,13.53,14.13,17.79,17.23,16.5,18.44,16.54,13.68,9.38,8.83,7.8,7.8,7.8,5.39,5.39,5.39,7.8,7.8,7.8,7.8,7.8,9.0,12.77,17.34,19.25,17.83,17.83,17.84,17.78,17.34,16.0,17.34,15.25,13.89,11.08,10.16,9.81
50,10,14,2025-01-30,0.4906286946515226,11.42,10.86,10.74,10.54,10.95,11.38,11.58,11.58,11.67,12.06,12.73,13.28,13.53,15.95,16.36,15.6,15.01,16.01,17.29,14.09,12.01,10.19,9.41,8.96,5.3,5.3,6.84,6.52,7.58,9.41,10.86,12.75,12.75,16.78,17.36,17.91,17.99,17.29,16.34,15.6,16.34,15.6,16.34,14.18,14.39,13.59,12.83,11.41
50,11,5,2024-08-26,0.6033806896504218,12.88,10.95,11.01,10.88,10.5,10.25,10.33,10.19,10.19,10.25,10.88,12.16,12.16,11.0,9.89,9.89,11.83,11.82,11.51,10.92,9.89,9.89,9.89,9.89,9.89,9.89,10.67,11.83,12.48,20.0,20.0,23.0,25.82,31.01,31.01,31.01,31.01,31.01,24.07,20.0,20.0,18.11,18.11,16.76,15.04,13.87,13.72,12.81
