total_clusters,cluster_id,member_days,representative_date,distance_to_center,raw_t1,raw_t2,raw_t3,raw_t4,raw_t5,raw_t6,raw_t7,raw_t8,raw_t9,raw_t10,raw_t11,raw_t12,raw_t13,raw_t14,raw_t15,raw_t16,raw_t17,raw_t18,raw_t19,raw_t20,raw_t21,raw_t22,raw_t23,raw_t24,raw_t25,raw_t26,raw_t27,raw_t28,raw_t29,raw_t30,raw_t31,raw_t32,raw_t33,raw_t34,raw_t35,raw_t36,raw_t37,raw_t38,raw_t39,raw_t40,raw_t41,raw_t42,raw_t43,raw_t44,raw_t45,raw_t46,raw_t47,raw_t48
13,0,11,2024-07-01,0.6512826774974821,9.28,8.58,8.53,7.93,7.87,8.0,8.54,8.8,9.21,9.22,9.33,9.42,9.56,9.43,9.43,9.74,11.76,13.06,16.14,18.0,17.64,17.64,17.64,17.64,12.0,11.0,16.19,17.64,17.64,17.64,16.19,16.19,15.0,16.04,13.0,14.92,13.7,13.76,13.44,12.14,11.07,10.12,10.0,9.84,9.55,9.39,9.06,8.56
13,1,40,2024-10-22,0.5662789196845811,9.66,10.01,9.46,9.18,9.19,9.66,9.5,8.5,9.66,10.12,11.66,11.66,12.0,12.0,11.58,10.93,11.0,11.43,10.74,10.74,10.53,10.36,10.53,10.53,8.05,9.18,10.74,10.93,11.58,12.54,14.65,17.02,17.02,17.41,17.02,17.02,17.02,17.02,17.02,15.61,13.04,12.69,12.75,11.94,11.94,10.9,10.85,8.08
13,2,69,2025-01-30,0.4491135400495778,11.42,10.86,10.74,10.54,10.95,11.38,11.58,11.58,11.67,12.06,12.73,13.28,13.53,15.95,16.36,15.6,15.01,16.01,17.29,14.09,12.01,10.19,9.41,8.96,5.3,5.3,6.84,6.52,7.58,9.41,10.86,12.75,12.75,16.78,17.36,17.91,17.99,17.29,16.34,15.6,16.34,15.6,16.34,14.18,14.39,13.59,12.83,11.41
13,3,45,2024-08-06,0.4953508898277393,16.0,12.94,12.48,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,12.12,10.37,10.37,10.37,12.78,11.01,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,10.37,13.99,14.0,19.0,20.86,22.96,22.82,23.92,25.62,26.45,24.36,21.18,21.18,20.58,20.27,18.32,18.0,15.04,12.8,12.91
13,4,40,2024-05-06,0.3422739705192842,8.52,7.74,7.5,7.61,7.65,8.56,8.87,9.49,9.89,8.87,8.78,8.39,8.15,8.15,7.65,7.65,7.65,8.39,8.39,8.39,8.39,8.39,8.18,7.65,7.64,7.65,8.0,8.0,8.15,8.39,8.52,8.87,8.87,10.31,10.32,10.31,9.68,10.82,10.82,10.32,10.31,9.76,8.93,8.93,9.5,8.93,8.87,8.52
13,5,43,2024-04-30,0.7011582588906665,11.29,10.34,10.17,10.19,10.37,10.61,10.73,10.91,10.96,10.95,11.43,11.39,10.71,10.56,10.19,10.0,8.25,8.55,8.01,7.9,7.78,7.83,7.44,6.98,3.01,0.5,6.98,7.44,7.5,7.83,7.83,8.25,8.04,10.77,12.71,14.99,15.28,15.38,15.04,14.0,13.12,13.82,13.4,12.46,12.15,10.96,10.37,10.0
13,6,20,2024-12-04,0.5648149451213074,10.58,10.14,9.77,9.65,10.15,10.58,10.76,10.83,10.83,10.83,11.32,11.32,11.32,11.32,11.32,11.32,10.58,10.33,9.63,5.01,2.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.0,10.33,10.41,11.32,15.39,16.19,16.19,16.06,15.78,15.78,15.55,15.4,15.36,15.0,14.27,11.32,11.31,10.83,10.42
13,7,28,2025-02-11,0.5880445707641582,14.74,14.74,14.83,14.75,14.76,14.95,14.86,14.54,13.82,14.49,14.79,14.73,15.31,16.73,16.93,16.51,15.04,9.61,9.39,9.17,7.01,5.46,3.0,0.01,0.01,0.01,0.01,0.01,0.01,2.01,5.01,7.95,9.17,10.5,17.53,19.52,19.38,18.95,18.95,18.71,18.72,18.49,18.36,17.52,18.71,16.51,15.63,14.93
13,8,17,2024-06-11,0.7382945178206892,11.01,11.0,10.78,10.77,10.77,11.2,11.55,11.74,11.75,12.4,12.01,11.42,10.44,9.87,8.9,8.95,8.05,6.48,4.57,5.0,1.0,2.0,0.5,0.5,0.01,0.01,3.0,7.98,8.01,6.03,8.51,10.44,11.43,14.0,14.46,16.19,17.16,17.51,17.16,16.91,15.13,16.0,14.89,13.13,13.0,11.0,10.41,9.11
13,9,17,2024-06-05,0.5609108441694322,10.44,10.32,10.0,10.0,10.03,10.4,10.44,10.83,10.51,11.02,10.88,10.88,9.31,7.98,7.0,5.87,3.01,0.5,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.75,5.18,8.48,9.29,11.24,11.5,12.73,13.3,15.0,14.0,12.96,12.8,12.37,12.4,12.01,11.18,10.43,10.04,9.11
13,10,10,2025-03-25,0.8652360301767547,8.64,7.82,7.8,7.8,7.8,8.83,9.09,9.29,9.09,9.29,9.38,9.38,10.09,9.38,8.01,7.5,7.5,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.0,8.58,8.66,9.38,10.32,10.57,10.34,10.09,10.0,10.0,9.76,9.38,9.38,9.09,9.09,6.2
13,11,17,2024-05-10,0.6064882998971413,10.11,10.09,9.66,9.05,8.87,9.66,9.97,10.0,10.94,10.89,11.0,10.18,9.67,8.0,3.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0,7.87,8.87,11.13,13.07,14.88,14.88,14.15,13.0,11.88,11.09,10.86,11.88,11.4,11.4,9.91
13,12,8,2024-05-03,0.5233217864387893,11.41,10.54,10.19,10.42,10.42,11.54,12.02,12.21,12.21,12.01,12.19,10.5,9.67,6.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7.0,9.09,10.54,12.81,12.88,12.03,12.03,12.03,11.3,11.12,11.11,10.54,10.92,10.19
